Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
ASL Argininosuccinate lyase	M14218_at	-424	A	-800	A	-370	A	-437	A	-673	A	-581	A	-652	A	-1098	A	-240	A	-1037	A	-969	A	-600	A	-1482	A	-1304	A	-1214	A	-1605	A	-1174	A	-251	A	-1568	A	-850	A	-385	A	-331	A	-171	A	-199	P	-622	A	-177	A	-343	A	-132	A	-82	A	-767	A	-1791	A	-1141	A	-1493	A	-2033	A	-1016	A	-423	A	-952	A	-1010	A	-326	A	-1250	A	-1558	A	-1022	A
DCN Decorin	M14219_at	340	P	347	P	254	P	217	P	205	P	458	P	303	P	609	P	174	P	317	P	135	P	393	P	303	P	431	A	346	P	498	P	468	P	836	P	217	P	42	A	1423	P	987	P	475	P	1269	P	920	P	359	P	820	P	372	P	326	P	55	A	188	P	217	A	298	A	118	A	8	A	277	P	577	A	544	P	-99	A	382	A	233	A	174	A
PROS1 Plasma protein S 	M14338_at	-108	A	2	A	-12	A	97	A	-187	A	156	P	30	A	-14	A	128	P	-82	A	45	A	-27	A	-115	A	-88	A	750	A	415	A	461	P	315	P	27	A	89	A	743	P	1190	P	75	A	935	P	270	A	821	P	1197	P	736	P	504	P	431	P	-206	A	-803	A	-121	A	-538	A	-89	A	-74	A	230	A	234	P	-143	A	-74	A	291	A	215	P
COAGULATION FACTOR XIII A CHAIN	M14539_at	-98	A	106	A	112	A	66	A	-27	A	-116	A	-182	A	237	A	-40	A	-34	A	-227	A	-584	A	-418	A	-377	A	-213	A	40	A	281	A	3483	P	54	A	89	A	-92	A	408	P	233	A	-1	A	606	P	9483	P	632	P	38	A	743	P	511	A	-218	A	-490	A	-830	A	-686	A	-273	A	4023	P	1048	A	40	A	54	A	69	A	-805	A	-5	A
"CYP11A Cytochrome P450, subfamily XIA (cholesterol side chain cleavage)"	M14565_at	71	A	330	A	180	A	179	A	-25	A	1653	P	-80	A	425	A	133	A	547	A	480	A	895	A	466	A	419	A	66	A	65	A	283	A	103	A	548	A	916	A	290	A	178	A	331	A	217	A	69	A	143	A	334	A	49	A	78	A	15	A	242	A	1302	A	686	A	620	A	219	A	-153	A	-250	A	261	A	217	A	116	A	285	A	177	A
PYGL Glycogen phosphorylase L (liver form)	M14636_at	66	A	-25	A	1	A	-3	A	68	A	16	A	6	A	31	A	40	A	44	A	-9	A	163	A	62	A	53	A	230	P	171	P	375	P	836	P	43	A	-79	A	220	P	1286	P	1206	P	749	P	946	P	359	P	693	P	282	P	628	P	245	M	139	A	-144	A	-80	A	-45	A	-31	A	4	A	375	A	294	P	143	A	-138	A	105	A	885	P
"ITGAV Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"	M14648_at	77	A	63	A	51	A	19	A	47	A	26	A	60	A	241	A	46	A	117	P	169	A	497	P	553	P	425	P	408	P	706	P	600	P	265	P	689	P	437	P	125	P	208	P	-48	A	3850	P	224	P	134	A	174	P	124	P	236	P	-105	A	-78	A	-160	A	44	A	72	A	-197	A	18	A	269	A	70	P	-54	A	-34	A	163	A	203	P
"ISG-54K gene (interferon stimulated gene) encoding a 54 kDA protein, exon 2"	M14660_at	-38	A	2	A	-34	A	93	P	43	A	56	A	-58	A	92	A	-42	A	-123	A	-162	A	-142	A	77	P	11	A	-332	A	400	A	67	A	8	A	303	P	-117	A	406	P	30	A	-75	A	739	P	375	P	19	A	84	A	71	A	29	A	-70	A	-315	A	-2299	A	35	A	65	A	-80	A	-101	A	-538	A	152	A	321	A	-263	A	-99	A	-49	A
"FYN FYN oncogene related to SRC, FGR, YES"	M14676_at	891	P	5670	P	3226	P	3808	P	2623	P	4392	P	4231	P	15039	P	3489	P	4324	P	7945	P	9910	P	7841	P	7398	P	9895	P	6569	P	7479	P	3052	P	10483	P	6786	P	5420	P	1414	P	1563	P	2827	P	1071	P	2560	P	761	P	2406	P	1034	P	1022	P	5834	P	6069	P	6818	P	8891	P	1662	P	1501	P	5077	P	3432	P	2179	P	12793	P	6722	P	5411	P
NGFR Nerve growth factor receptor	M14764_at	261	A	2719	P	650	P	1575	P	954	P	466	A	260	A	655	A	233	P	5858	P	753	A	1464	A	447	A	1009	P	508	A	484	A	792	A	433	A	1264	P	1457	P	218	A	645	P	947	P	568	P	163	A	1267	P	404	P	269	A	464	P	421	A	1147	M	739	A	993	P	1271	A	53	A	217	A	403	A	3953	P	544	A	478	A	735	A	12854	P
RAS-RELATED PROTEIN R-RAS	M14949_at	151	A	224	A	-1	A	113	A	162	A	213	A	-53	A	63	A	16	A	274	A	-254	A	114	A	1265	A	702	A	-659	A	790	A	-270	A	1763	P	-374	A	-169	A	1754	P	3969	P	186	A	5072	P	2226	P	1767	A	1515	P	1047	P	1808	P	260	A	36	A	-1969	A	-1497	A	-1346	A	546	A	872	A	-1586	A	885	A	787	A	-1277	A	-665	A	-218	A
"FCER2 Fc fragment of IgE, low affinity II, receptor for (CD23A)"	M15059_at	535	P	330	A	480	A	225	A	467	P	621	A	85	A	889	A	289	A	255	A	753	A	923	A	510	P	614	A	1097	A	211	M	1249	P	356	A	1763	A	747	A	321	A	188	P	431	P	331	A	281	A	141	A	60	A	309	A	122	A	135	A	856	P	2178	A	2442	A	2243	A	775	A	80	A	1413	A	49	A	861	A	918	A	198	A	769	A
"GUSB Glucuronidase, beta"	M15182_at	1397	P	1503	P	1193	P	1737	P	897	P	2710	P	1378	P	2789	P	1051	P	1730	P	1409	P	895	P	1107	P	1907	P	2569	P	1795	P	2129	P	2969	P	1844	P	1029	P	1688	P	2409	P	1830	P	2884	P	2051	P	1492	P	1602	P	1186	P	1125	P	1905	P	1839	P	1905	A	2131	P	2923	P	913	P	1337	P	2183	P	2681	P	1198	A	2061	P	1808	P	2334	P
"TK1 Thymidine kinase 1, soluble"	M15205_at	1245	P	1463	M	762	A	674	A	588	A	1931	P	620	A	1361	A	398	A	1124	A	1736	A	2425	A	1386	A	2249	P	1690	A	615	A	1262	M	1528	P	2110	A	2016	A	1274	P	634	A	1430	P	1488	P	2645	P	838	P	1190	P	315	A	1055	P	982	A	1050	P	1254	A	1699	A	2575	A	748	P	1149	A	586	A	1465	P	961	A	1210	A	-525	A	1914	A
EIF4E Eukaryotic translation initiation factor 4E	M15353_at	97	P	4	A	128	P	98	P	262	P	37	A	155	P	400	P	104	P	112	P	31	A	27	A	86	A	17	A	116	A	29	A	166	P	99	P	-86	A	-61	A	174	P	464	P	232	P	218	P	247	P	33	A	114	P	151	P	119	P	60	A	78	A	80	A	227	P	308	A	156	A	130	A	57	A	174	A	-84	A	243	P	17	A	-5	A
TTR gene (prealbumin) extracted from Human mutant prealbumin gene directly linked to familial amyloidotic polyneuropathy (FAP)	M15517_cds5_at	9211	P	21	A	-143	A	-75	A	-344	A	7494	P	-27	A	-396	A	14	A	-486	A	-331	A	278	A	-264	A	11	A	-723	A	-600	A	177	A	-119	A	-168	A	-136	A	-263	A	-208	A	-277	A	-247	A	-304	A	-67	A	-178	A	-244	A	-118	A	-561	A	242	A	819	A	827	A	45	A	-250	A	-68	A	-125	A	-305	A	490	A	419	A	21357	P	681	A
"ALDOB Aldolase B, fructose-bisphosphate"	M15656_at	-460	A	-1463	A	-348	A	-809	A	-883	A	-214	A	-1337	A	-939	A	-702	A	-1462	A	263	A	-1158	A	-1472	A	-838	A	-1021	A	-1992	A	-279	A	-1323	A	-987	A	-1076	A	-1294	A	-1009	A	-1060	A	-840	A	-1884	A	-392	A	-991	A	-492	A	-457	A	-1012	A	-582	A	-2202	A	-939	A	-2223	A	-1075	A	-341	A	182	A	-1057	A	-1372	A	-1828	A	-764	A	-638	A
RPL44 Ribosomal protein L44	M15661_at	1693	P	956	P	1443	P	2761	P	728	P	2502	P	1135	P	1074	P	1109	P	1382	P	1328	P	3747	P	1126	P	425	P	1033	P	-61	A	1361	P	2101	P	-130	A	338	A	3647	P	9189	P	2608	P	4689	P	4592	P	1444	P	2085	P	2472	P	2520	P	812	P	2386	P	1270	P	4536	P	2663	P	1052	P	996	P	1009	A	2280	P	975	M	704	P	2112	P	1777	P
"DNA/endogenous human papillomavirus type 16 (HPV) DNA, right flank and viral host junction"	M15780_at	-143	A	-254	A	-165	A	-222	A	-2136	A	-260	A	-489	A	-35	A	-206	A	-1273	A	-232	A	-256	A	-1256	A	-230	A	-1325	A	-2381	A	-186	A	-1145	A	-200	A	-470	A	-2047	A	-275	A	-789	A	-137	A	-1919	A	-189	A	-258	A	-109	A	-192	A	-1298	A	-157	A	-651	A	-336	A	-758	A	-327	A	-204	A	-653	A	-226	A	-232	A	-213	A	-320	A	-186	A
PCNA Proliferating cell nuclear antigen	M15796_at	596	P	606	A	476	P	492	A	-4049	A	1765	P	377	A	808	P	37	A	-619	A	189	A	322	A	-977	A	513	P	123	A	-2436	A	735	P	257	A	461	P	51	A	137	A	80	A	493	A	1472	P	-709	A	265	P	817	P	217	M	761	P	-1860	A	333	A	-442	A	201	A	-725	A	1079	P	279	A	500	A	1098	P	-554	A	925	P	268	A	218	A
SNRPB2 Small nuclear ribonucleoprotein polypeptide B''	M15841_at	1078	P	1036	P	883	P	832	P	-1098	A	1414	P	979	P	840	P	87	A	-296	A	155	A	366	A	-192	A	584	P	-146	A	-579	A	663	P	783	A	613	P	225	A	309	A	1633	P	634	A	1029	P	588	A	586	P	1888	P	692	P	915	P	-1133	A	151	A	-305	A	631	A	-65	A	430	P	475	P	-96	A	520	P	-297	A	679	A	280	A	419	P
LPL Lipoprotein lipase	M15856_at	149	P	184	A	681	P	182	P	-413	A	137	P	278	P	964	P	165	P	-132	A	3689	P	579	P	1232	P	3436	P	1427	P	506	P	6473	P	983	P	4558	P	277	A	66	A	169	A	-177	A	172	P	-266	A	222	P	206	P	1293	P	167	P	-250	A	1068	P	1663	A	1580	P	1441	P	353	A	682	P	644	A	3610	P	331	A	784	P	315	A	1684	P
"UMOD Uromodulin (uromucoid, Tamm-Horsfall glycoprotein)"	M15881_at	7	A	-313	A	187	A	18	A	95	A	170	A	-159	A	343	A	-33	A	10	A	520	A	868	A	394	A	608	A	567	A	214	A	-31	A	93	A	385	A	-155	A	135	A	51	A	86	A	152	A	80	A	47	A	220	A	-44	A	104	A	-125	A	-12	A	-321	A	445	A	469	A	277	A	173	A	500	A	81	A	-74	A	-91	A	-157	A	320	A
GAS Gastrin	M15958_at	-720	A	-1354	A	-679	A	-576	A	-897	A	-960	A	-1043	A	-2112	A	-588	A	-1459	A	-2622	A	-2452	A	-1858	A	-1352	A	-2480	A	-1238	A	-1906	A	-742	A	-3787	A	-1964	A	-779	A	-626	A	-772	A	-1386	A	-1069	A	-582	A	-791	A	-555	A	-383	A	-285	A	-1044	A	-3810	A	-2766	A	-3704	A	-922	A	-605	A	-1423	A	-1811	A	-559	A	-1580	A	-2077	A	-2313	A
C-yes-1 mRNA	M15990_at	1388	P	781	P	535	P	907	P	543	P	1492	P	892	P	2052	P	629	P	1307	P	1145	P	906	P	1458	P	726	P	1875	P	2785	P	1701	P	714	P	1416	P	634	P	882	P	1871	P	392	P	2417	P	1737	P	565	P	1897	P	1199	P	763	P	280	P	443	P	1599	P	1141	P	1478	P	501	P	366	P	442	A	1375	P	426	P	789	P	1097	P	477	P
LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog	M16038_at	208	M	472	P	239	P	164	P	20	A	144	A	157	A	393	A	202	P	1	A	421	A	753	P	206	A	70	A	651	P	684	P	693	P	368	P	775	P	446	A	507	P	68	P	62	A	434	P	122	A	531	P	173	P	338	P	149	P	-215	A	503	A	1446	P	1045	P	633	P	407	A	554	P	1144	A	1422	P	406	A	86	A	799	P	894	P
"MIC2 Antigen identified by monoclonal antibodies 12E7, F21 and O13"	M16279_at	3083	P	1425	P	1051	P	1456	P	856	P	3078	P	460	P	-95	A	1415	P	417	P	-1382	A	9183	P	13920	P	277	P	11650	P	10815	P	11915	P	8030	P	2631	P	5616	P	5601	P	10698	P	5490	P	6667	P	7447	P	13229	P	6415	P	4471	P	4253	P	4131	P	3272	P	40	A	977	P	-1747	A	2867	P	6037	P	11184	P	256	P	3591	P	-173	M	-997	A	1422	P
"Fragile X locus M2C containing an unidentified open reading frame, 3' end"	M16282_at	174	A	514	A	169	A	148	A	134	A	205	A	382	A	708	A	106	A	-37	A	951	A	1387	A	664	A	466	A	542	A	-691	A	519	A	105	A	992	A	1405	A	131	A	166	A	50	A	372	A	-211	A	385	A	181	A	309	A	112	A	977	A	1104	A	192	A	1279	A	1126	A	8	A	423	A	942	A	779	A	4	A	538	A	1482	A	699	A
M2 muscarinic acetylcholine receptor gene	M16404_at	-111	A	-49	A	-66	A	-86	A	-483	A	-118	A	-96	A	-152	A	-71	A	-379	A	-60	A	-273	A	-168	A	-212	A	-560	A	-1081	A	-38	A	-311	A	-65	A	-70	A	-783	A	-125	A	-336	A	-77	A	-663	A	-50	A	-23	A	-109	A	-62	A	-175	A	-230	A	-160	A	-218	A	-601	A	-67	A	47	A	19	A	-119	A	-426	A	-121	A	-93	A	-23	A
MUSCARINIC ACETYLCHOLINE RECEPTOR M4	M16405_at	339	A	663	A	405	A	231	A	212	A	311	A	170	A	1357	M	135	A	537	A	1190	A	1201	M	1208	M	1405	P	944	A	451	A	963	P	645	A	710	P	1645	P	284	A	426	P	40	A	284	M	559	A	289	A	372	A	374	A	132	A	105	A	1323	P	1430	A	1259	P	2693	M	667	A	241	A	961	P	1125	P	554	A	518	A	601	A	638	P
BETA-HEXOSAMINIDASE ALPHA CHAIN PRECURSOR	M16424_at	321	A	37	A	-84	P	125	P	-203	A	12	P	-79	P	-35	P	-160	P	199	P	1725	P	1507	P	1992	P	1086	P	416	M	1121	P	501	P	775	P	765	P	1734	P	66	P	301	P	-441	P	22	P	804	P	416	P	459	P	826	P	441	P	1183	A	424	M	-836	A	-285	P	1747	P	-407	A	297	P	105	A	27	P	128	A	-215	A	-1132	M	-104	A
Lymphotoxin gene extracted from Human tumor necrosis factor and lymphotoxin genes	M16441_cds1_at	-382	A	-413	A	-541	A	-192	A	-741	A	-480	A	-716	A	-1513	A	-419	A	-787	A	-642	A	-1196	A	-1155	A	-395	A	-1791	A	-1769	A	-958	A	-362	A	-868	A	-517	A	-688	A	-819	A	-1880	A	-1035	A	-1617	A	-368	A	-724	A	-215	A	-221	A	-1123	A	145	A	-1422	A	-1987	A	-4805	A	-810	A	-326	A	-3375	A	-716	A	-1035	A	-1054	A	-3238	A	-1993	A
QDPR Dihydropteridine reductase	M16447_at	735	P	332	P	749	P	542	P	296	A	1254	P	514	P	1765	P	353	A	943	P	1384	P	2256	P	1752	P	1245	P	1821	A	1132	A	2104	P	346	P	2561	P	723	P	1327	P	989	P	1309	P	753	P	769	A	426	P	657	P	411	P	538	P	180	A	2738	P	5988	P	8476	P	4099	P	232	P	649	P	365	A	1114	P	302	A	816	M	1931	P	1302	P
STS Steroid sulfatase (microsomal)	M16505_at	-26	A	-4	A	49	A	-29	A	-13	A	39	A	-38	A	-10	A	-8	A	-87	A	-18	P	-27	A	-81	A	-23	A	-151	A	142	A	51	P	-20	A	-21	A	108	A	-142	A	-53	A	-26	A	-37	A	78	A	103	A	-62	A	-36	A	57	A	-135	A	42	A	-377	A	-99	P	-9	A	44	A	26	A	19	A	-68	A	-64	A	42	A	-17	A	-110	A
MLR Mineralocorticoid receptor (aldosterone receptor)	M16801_at	57	A	115	A	215	P	-12	A	232	M	163	A	211	P	492	P	64	A	169	A	92	A	295	A	654	P	17	A	-96	A	109	A	27	A	109	A	325	A	258	A	-26	A	-32	A	-6	A	-45	A	-43	A	-55	A	74	A	46	A	39	A	-170	A	291	A	675	A	1134	P	991	P	13	A	66	A	307	A	29	A	-242	A	71	A	361	A	2	A
"Homeo box c1 protein, mRNA"	M16937_at	95	A	11	A	112	A	37	A	-61	A	61	A	131	A	209	A	126	A	-61	A	205	A	0	A	-105	A	88	A	-443	A	-349	A	99	A	287	A	43	A	-159	A	-154	A	452	P	389	A	285	A	1054	A	332	P	235	A	132	A	354	P	-40	A	-97	A	-1382	A	-44	A	36	A	-161	A	-177	A	-730	A	141	A	-118	A	96	A	-215	A	148	A
AHSG Alpha-2-HS-glycoprotein alpha and beta chain	M16961_at	94	A	23	A	152	A	243	P	262	P	63	A	168	A	269	P	97	A	199	P	155	A	109	A	240	A	253	A	156	A	254	A	33	A	-4	A	293	A	131	A	77	P	221	A	149	A	103	P	127	A	40	A	147	A	88	A	59	A	225	A	552	A	289	A	250	A	430	A	13	A	157	A	-125	A	310	A	14	A	94	A	367	A	282	P
F5 Coagulation factor V	M16967_at	-48	A	61	A	-208	A	-99	A	13	M	-110	A	2	A	-237	A	-46	A	-151	A	-187	A	54	A	-110	A	-407	A	631	A	-280	A	-225	A	-253	A	-352	A	-206	A	-191	A	-35	A	-109	A	-166	A	-171	A	19	A	-62	A	-67	A	-79	A	-160	A	-254	A	-393	A	-618	A	-696	A	-35	A	-64	A	-730	A	-237	A	4	A	59	A	-17	A	990	P
"C8B Complement component 8, beta polypeptide"	M16973_at	-323	A	181	A	-25	A	111	A	-709	A	-37	A	-139	A	-1237	A	-184	A	98	A	-1820	A	-1136	A	-182	A	-667	A	-299	A	-389	A	-670	A	-536	A	-2430	A	-1137	A	-233	A	-303	A	-80	A	15	A	-40	A	419	A	-146	A	-24	A	158	A	-466	A	613	A	586	A	339	A	-210	A	-111	A	-638	A	-807	A	-1152	A	381	A	389	A	1178	A	-198	A
"GNAI1 Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1"	M17219_at	110	A	101	A	349	P	466	P	310	P	282	P	168	A	1343	P	81	A	539	P	175	P	447	P	105	A	431	P	175	A	305	P	247	P	240	P	520	P	18	A	75	A	493	P	-61	A	66	A	-20	A	167	P	200	P	98	M	-76	A	-160	A	352	A	88	A	545	P	673	A	-4	A	177	A	-153	A	904	P	-39	A	461	P	-116	A	157	P
PROTHROMBIN PRECURSOR	M17262_at	412	A	344	A	377	A	352	A	415	A	199	A	267	A	1219	A	229	A	334	A	139	A	267	A	57	A	383	A	512	A	83	A	684	A	78	A	374	A	305	A	386	A	589	A	348	A	671	A	719	A	364	A	307	A	176	A	1196	P	-55	A	339	A	956	A	692	A	1898	A	353	A	275	A	-201	A	610	A	643	A	419	A	-17	A	515	A
"Gamma-A-crystallin gene (gamma-G5), exon 3"	M17316_at	-421	A	224	A	-574	A	-431	A	-95	A	-308	A	50	A	-294	A	-206	A	-163	A	405	A	-890	A	399	A	-667	A	47	A	396	A	72	A	-125	A	482	A	728	A	-282	A	-445	A	-138	A	-252	A	-109	A	-455	A	-96	A	-424	A	-235	A	-50	A	-528	A	-996	A	839	A	-528	A	-273	A	124	A	-211	A	-495	A	158	A	-52	A	110	A	131	A
F12 Coagulation factor XII (Hageman factor)	M17466_at	130	A	-186	A	-278	A	-212	A	-41	A	-262	A	-341	A	-758	A	-126	A	-11	A	-13	A	120	A	24	A	35	A	42	A	-200	A	-67	A	20	A	-699	A	-267	A	-104	A	-102	A	25	A	-74	A	198	A	158	A	-84	A	-121	A	101	A	30	A	-267	A	731	A	-362	A	-449	A	313	A	268	A	134	A	681	A	356	A	-444	A	396	A	-43	A
Thymosin beta-4 mRNA	M17733_at	12437	P	31672	P	17551	P	15966	P	13382	P	19214	P	17843	P	20576	P	15307	P	15794	P	7088	P	17339	P	18517	P	18002	P	24913	P	28190	P	33251	P	29880	P	22404	P	8055	P	18220	P	13541	P	12384	P	17073	P	17562	P	30316	P	13150	P	6541	P	15224	P	2928	P	17546	P	13183	P	30590	P	16445	P	30659	P	26399	P	44218	P	17464	P	22475	P	28433	P	15918	P	21777	P
BN51T BN51 (BHK21) temperature sensitivity complementing	M17754_at	732	P	347	A	143	A	354	A	-148	A	571	A	39	A	-102	A	209	A	643	A	1465	A	256	A	1083	A	726	A	1771	A	491	A	1249	A	1028	A	347	A	451	A	329	A	377	P	172	A	282	A	-53	P	280	A	237	A	347	A	295	P	-45	A	-60	A	1077	A	-115	A	-124	A	143	A	291	A	1913	A	585	A	440	A	-47	A	781	A	964	A
"RPLP0 Ribosomal protein, large, P0"	M17885_at	26562	P	29526	P	32519	P	34962	P	39994	P	29283	P	33060	P	11013	P	42548	P	30211	P	46921	P	18192	P	22676	P	29144	P	43804	P	35637	P	34039	P	39692	P	22524	P	39701	P	19283	P	15169	P	23006	P	22889	P	19021	P	49639	P	29333	P	35637	P	33380	P	36252	P	20393	P	15659	P	14166	P	17512	P	70874	P	42168	P	44911	P	49467	P	24912	P	37795	P	33056	P	35069	P
"RPLP1 Ribosomal protein, large, P1"	M17886_at	17885	P	23065	P	29661	P	24924	P	29723	P	20840	P	22814	P	12313	P	30730	P	19081	P	23687	P	7872	P	9299	P	10438	P	25371	P	20968	P	15849	P	26413	P	9609	P	15087	P	17981	P	15678	P	18326	P	16860	P	16309	P	32800	P	20655	P	19033	P	23646	P	20859	P	9610	P	8167	P	9156	P	9557	P	40663	P	27266	P	22397	P	21181	P	9223	P	19736	P	18281	P	12367	P
40S RIBOSOMAL PROTEIN S17	M18000_at	22321	P	15938	P	28804	P	22814	P	23778	P	19181	P	25048	P	7269	P	28364	P	26645	P	25160	P	6391	P	10190	P	9435	P	22080	P	17982	P	14143	P	20285	P	12719	P	22250	P	24500	P	23278	P	25838	P	25289	P	23957	P	30998	P	23367	P	18264	P	27218	P	29267	P	11966	P	26455	P	18029	P	20580	P	30995	P	21693	P	7607	P	12135	P	17046	P	18840	P	21275	P	9984	P
"FATTY ACID-BINDING PROTEIN, INTESTINAL"	M18079_at	-41	A	9	A	97	A	71	A	-168	A	80	A	-31	A	134	A	17	A	-93	A	-94	A	-158	A	-139	A	-123	A	-247	A	-171	A	18	A	-228	A	-222	A	-42	A	-8	A	99	P	-9	A	180	A	23	A	47	A	82	A	21	A	41	A	-45	A	303	A	-369	A	-262	A	-440	A	174	P	109	A	-221	A	-29	A	-401	A	54	A	-35	A	-198	A
GIP Gastric inhibitory polypeptide	M18185_at	-5	A	-33	A	-95	A	-10	A	-134	A	-66	A	-71	A	-311	A	-85	A	-107	A	-124	A	-163	A	-211	A	-159	A	-282	A	-284	A	-121	A	-107	A	-217	A	-98	A	-266	A	54	A	-36	A	-206	A	-190	A	9	A	-245	A	-151	A	-46	A	-215	A	-12	A	-610	A	-86	A	-1632	A	-161	A	-57	A	-211	A	-256	A	-470	A	-265	A	-297	A	-142	A
"DMD Dystrophin (muscular dystrophy, Duchenne and Becker types)"	M18533_at	352	P	169	A	173	P	174	P	73	P	279	P	591	P	1286	P	49	A	209	P	164	P	327	A	726	P	277	P	460	P	560	P	459	P	279	P	330	A	-32	A	942	P	456	P	32	A	7134	P	5643	P	325	P	571	P	592	P	202	P	75	A	358	P	731	A	631	P	873	P	344	P	124	A	471	A	534	P	-59	A	215	A	309	A	247	P
NCA Non-specific cross reacting antigen	M18728_at	-6	A	-118	A	-81	A	45	A	-221	A	-37	A	28	A	-202	A	-131	A	-83	A	-103	A	-295	A	-438	A	-47	A	-151	A	-178	A	76	A	-91	A	-363	A	-188	A	77	A	110	A	-56	A	-31	A	-66	A	-74	A	-19	A	-53	A	41	P	-185	A	-516	A	-562	A	-195	A	105	A	-206	A	-82	A	-394	A	-95	A	-99	A	-114	A	-560	A	-46	A
GALT Galactose-1-phosphate uridyltransferase	M18731_at	-437	A	-698	A	-410	A	-659	A	-541	A	-171	A	-514	A	-1155	A	-460	A	-1155	A	-1159	A	-1556	A	-1314	A	-891	A	-1742	A	-655	A	-1309	A	-376	A	-2284	A	-756	A	-538	A	-676	A	-520	A	-650	A	-536	A	-759	A	-896	A	-572	A	-313	A	-576	A	-722	A	-1221	A	-1122	A	-2167	A	-129	A	-554	A	-1067	A	-978	A	-242	A	-1049	A	-2246	A	-1372	A
GJA1P1 gene extracted from Human Hanukah factor serine protease (HuHF) mRNA	M18737_rna1_at	89	A	649	A	292	P	141	A	424	A	276	A	386	P	974	P	133	A	408	A	617	M	803	A	929	A	490	A	1082	A	866	P	357	P	196	P	347	A	747	A	186	P	246	P	341	A	498	P	607	P	471	A	545	P	169	A	280	P	315	P	734	A	2532	P	2186	P	2197	M	367	A	980	P	971	A	653	A	326	A	744	P	291	A	483	A
"ALPP Alkaline phosphatase, placental (Regan isozyme)"	M19159_at	1101	A	1867	A	788	A	1657	A	2059	A	2060	A	1554	A	3689	A	978	A	1319	A	2004	A	4965	A	4707	A	4735	A	3370	A	2214	A	1917	A	886	A	2051	A	3633	A	1307	A	1153	A	1093	A	1291	A	1446	A	2088	A	955	A	619	A	550	A	1509	A	2780	A	5273	A	5828	A	6329	A	223	A	1033	A	3866	A	3119	A	1882	A	1238	A	4744	A	2651	A
"ACTG1 Actin, gamma 1"	M19283_at	20559	P	17610	P	13691	P	18979	P	10387	P	13433	P	17266	P	47370	P	11702	P	20523	P	12401	P	20453	P	12602	P	21415	P	15389	P	16689	P	18259	P	14038	P	13652	P	4751	P	22877	P	20172	P	22370	P	22516	P	20464	P	13476	P	11790	P	16471	P	13685	P	5921	P	13454	P	7170	P	9675	P	7872	P	11746	P	8142	P	5327	P	19260	P	22643	P	16800	P	10176	P	11866	P
DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease)	M19301_at	83	A	224	P	-44	A	29	M	187	A	-11	A	106	A	99	A	44	A	164	P	184	A	65	A	-211	A	23	A	61	A	105	A	150	A	113	A	70	A	75	A	84	A	89	P	107	P	95	P	34	A	98	A	33	A	53	P	59	A	20	A	66	A	876	A	198	A	453	P	165	A	148	P	96	A	98	A	213	A	131	A	46	A	128	A
Follistatin gene	M19481_at	-4	A	30	A	-1	A	-40	A	495	A	-41	A	-9	A	-141	A	-39	A	25	A	-87	A	-327	A	-72	A	-147	A	79	A	101	A	13	A	-18	A	-173	A	-173	A	274	P	95	A	-62	A	-56	A	819	A	-50	A	-24	A	30	P	568	P	-115	A	-151	A	474	A	-211	A	-141	A	170	A	-20	M	-221	A	65	A	-104	A	-220	A	134	A	-67	A
"ATP5B ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	M19483_at	8095	P	6800	P	4970	P	5378	P	3965	P	10463	P	8009	P	8397	P	4697	P	6097	P	5151	P	6637	P	5035	P	8189	P	6507	P	3510	P	8849	P	5524	P	7905	P	3788	P	9717	P	13478	P	7848	P	13254	P	13283	P	2014	P	7031	P	5155	P	4650	P	742	P	19391	P	5442	P	13657	P	6861	P	6334	P	8680	P	4568	P	6370	P	4364	P	8634	P	11513	P	8241	P
MPO Myeloperoxidase	M19507_at	-285	A	-401	A	-128	A	16	A	-545	A	-227	A	-19	A	-92	A	71	A	-856	A	-423	A	-1125	A	-837	A	-814	A	-802	A	-291	A	-65	A	-329	A	-618	A	-70	A	-482	A	-148	A	-234	A	-458	A	-193	A	7	A	-165	A	-228	A	-184	A	-155	A	-78	A	-811	A	-756	A	-1231	A	76	A	117	A	-702	A	-542	A	-113	A	-163	A	-507	A	-300	A
